SLoss (Base case in VA),PLoss (Base case in W),QLoss (Base case in VAR),VDI,VSI
34.107457723586,13.11825297061,31.483807129464,0.00101274361161178,0.0318236329103353
34.107457723586,13.11825297061,31.483807129464,0.00399467183059855,0.0632034162889835
2167.98577291518,833.840681890452,2001.21763653709,0.0218416430545457,0.147789184497871
1169.12390274472,759.11083636578,889.157712715296,0.488589847763384,0.698992022675069
12421.963435788,11069.106219517,5637.38087245344,53.0914694347979,-7.28638932769845
12779.6681125224,11387.120619009,5801.15514999909,256.736152016126,-16.0229882361601
2834.58795125454,2525.39529183307,1287.3490099366,327.802736187186,-18.1053234212258
1185.91782044682,1056.83046110502,538.061756059553,367.411914683975,-19.1679919314459
4537.061355446,4307.84988311403,1423.85221411351,582.573992973945,-24.136569619023
943.195667940546,895.508942801705,296.111130125136,636.726173256207,-25.23343363984
1723.00986734712,1635.98806718549,540.653351975411,805.016781041015,-28.3728176436711
790.453412303433,750.615516108177,247.775995608524,977.23362939878,-31.2607362261157
758.540048890952,720.232754890865,238.007950610487,1164.53300992876,-34.1252547232803
728.829435066374,692.027718637609,228.67002876721,1366.20000792679,-36.9621429022559
135.440263394489,128.59418665799,42.5158806346357,1405.45833680286,-37.4894430047028
191.524572248461,181.841343259413,60.1280937380217,1471.48160302477,-38.3598957639977
1.54469774503083,1.4622879752093,0.49780016177338,1472.15787417256,-38.3687095713755
60.5378497253158,57.4784434390085,19.0015733346905,1507.87254959142,-38.8313346357219
38.8831041667636,36.9504279250769,12.1062655594981,1531.03367507094,-39.128425410064
62.4355653057206,59.2817125656096,19.5928142525097,1568.81559483357,-39.6082768475678
0.307962482903,0.292574136271189,0.0961315019176764,1569.35867250403,-39.6151318627622
2.95046004151739,2.80133269794466,0.926147705291574,1575.03732550831,-39.6867399203854
6.42208038979221,6.09743251601658,2.01604395923736,1587.43350919316,-39.8426092166811
3.45051769204213,3.27619447297531,1.08287677892814,1600.89016719207,-40.0111255426797
1.42343021412718,1.35151772529657,0.446714016681062,1606.45809594417,-40.0806449042947
0.199418191108044,0.189358906776362,0.0625365442702536,1608.02064857969,-40.100132775088
3513.86675591104,1325.77098943969,3254.16515589742,0.00488647437953481,0.0699033216630999
43957.3087960749,16638.6192639927,40686.6236689821,0.0190249074881913,0.137930806885885
99252.3521254128,94236.9321142769,31151.7259251569,0.0685124550829519,0.261748839697432
17514.6836435298,16630.0468436959,5495.9698970619,0.0803713638827361,0.283498437178649
87573.4182176492,83150.2342184796,27479.8494853095,0.153358484497049,0.391610117970729
209651.571866464,198755.118260127,66709.7035781307,0.412183822919844,0.642015438225472
361480.871366126,343215.139611207,113453.903878506,0.694615593390426,0.833436016374638
13814.1331272128,13115.9644056544,4336.09868037678,0.654564086280681,0.809051349594499
2235.25740240556,843.355660272119,2070.05480248611,0.00585931446699459,0.0765461590610175
21225.1440897683,8034.09264592135,19645.8671732296,0.0540101779275856,0.232400899153996
10252.6344711861,6667.63170187221,7788.40170304161,0.13982588588608,0.373932996519537
2959.44524825876,1924.93830709321,2247.87203624372,0.170262214498534,0.412628421825902
570.062632095751,28.8674999879689,569.33124976272,0.176339260039148,0.419927684297127
18.8343717900554,0.00161206639140347,18.8343717210657,30108472.2231895,-5487.11875424521
0.00102393656607137,0.00066569682248116,0.000778006318661047,30111001.4948345,-5487.34922297046
0.000135232907220258,8.80437732958954e-05,0.000102646155208385,30111335.2087271,-5487.37963045452
2.73524156517575e-05,1.69966464191316e-05,2.14305541806442e-05,30111410.4518407,-5487.38648646519
0.000323756768189594,0.000201188564678634,0.000253656473189867,30112301.0566348,-5487.46763604441
6.9279804298016e-07,4.15678825788096e-07,5.54238434384128e-07,30112304.9479775,-5487.46799061074
3688.61068041569,1383.94001338924,3419.14591543223,0.0371688606592734,0.192792273339139
91589.6021985961,34639.2044527718,84786.6778791112,9.39566083332397e-05,-0.00969312170217829
131311.823044857,49676.9157736331,121552.45333017,19.3703764623926,-4.40117898549838
8301.26113764942,3140.89823475775,7684.11964732097,25.3912009648565,-5.03896824408097
5.15419322381048,4.59209871372094,2.34058479697199,329.072414298557,-18.1403532021446
0.120323083646347,0.11403777266298,0.038380084213462,329.421961458957,-18.1499851641525
938.272323798702,836.118360830388,425.747625112485,472.546344266401,-21.7381311125497
1075.44247821383,958.290543225225,488.114493445755,611.524081147715,-24.7290129432558
1370.67293024564,1221.46472315719,621.906915696148,832.396513598141,-28.8512827028217
1256.80577238707,1119.86965923673,570.484614890236,1080.69186806534,-32.8738782023865
6676.94267973934,6329.87116312265,2124.68694324438,2924.91271355824,-54.0824621624999
3290.94660463163,3119.94970474165,1047.01642509513,4169.90154262089,-64.5747748166487
1275.5401863164,1211.03572818988,400.493735226502,4711.92432461042,-68.6434579884377
1389.18779255473,1329.2953600767,403.505351465914,5394.89107276993,-73.449922210782
1960.86510413992,1747.26080092962,889.984072985826,6440.1569099618,-80.2505882219053
14.9327512213726,13.3067135777821,6.7763141012114,6482.88429964347,-80.5163604470761
17.8724702479526,15.9280936912874,8.10685044425526,6540.29233997988,-80.8720739191217
87.5890600205118,78.0476590873085,39.7543248750133,6825.30774141438,-82.6154207240656
5.39990204472423,4.81175173614017,2.45071159510232,6912.59115880612,-83.1419939549571
3.7428308471193,3.58133610250936,1.08757274285945,639.630274806801,-25.2909128899453
0.0218224542064344,0.0209143276921636,0.00622979973809129,639.664149915435,-25.2915825901709
26.0779389031177,24.760388701991,8.18425615196996,823.960673280871,-28.7047151750522
0.0415633932920105,0.0393459823550069,0.0133943769719172,824.021482204124,-28.7057743703967
